"Reference","Value","Datasheet","Footprint","Qty","Spec","Manufacturer","MPN"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R15,R18,R26,R27,R29","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","17","metal film","",""
"R13,R14,R17,R19,R24,R28","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6","metal film","",""
"R16,R25","18r","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","metal film","",""
"R20,R21","2k2","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","metal film","",""
"R23,R30","5k1","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","metal film","",""
"R22","1m","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film","",""
"R37","33k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film","",""
"C3,C6,C7,C8","100nF","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","4","ceramic X7R","",""
"C1,C2","220nF","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","2","film","",""
"C9,C11","100pF","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","2","ceramic X7R","",""
"C4,C5,C10","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","3","electrolytic","",""
"D1,D2","LED","~","LED_THT:LED_D5.0mm","2","","",""
"J2","AVR-ISP-6","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1","","",""
"J3,J5","AudioJack2_SwitchT","http://qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","2","","QingPu","WQP-PJ398SM"
"J4","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4085","1","","GCT","USB4085-GF-A "
"Q1,Q2","J113","~","Package_TO_SOT_THT:TO-92_Inline_Wide","2","","",""
"RV1,RV2,RV3","100kB","~","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","3","","",""
"RV4","10kB","~","Potentiometer_THT:Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical","1","","",""
"RV5","100kA","~","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1","","",""
"SW1,SW2","SW_Push","https://components.omron.com/eu-en/sites/components.omron.com.eu/files/datasheet_pdf/A070-E1.pdf","Button_Switch_THT:SW_PUSH_6mm","2","","Omron","B3F-1070"
"U1","4069","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4069ubms.pdf","Package_DIP:DIP-14_W7.62mm","1","","",""
"U2","MCP602","http://ww1.microchip.com/downloads/en/DeviceDoc/21314g.pdf","Package_DIP:DIP-8_W7.62mm","1","","",""
"U3","ATtiny84V-10P","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8006.pdf","Package_DIP:DIP-14_W7.62mm","1","","",""
